id,name,height,date_of_birth,known_for_movies
nm0000179,Jude Law,178,29-12-1972,
nm0002033,Tyne Daly,166,21-02-1946,tt2250912
nm0000180,David Lean,186,25-03-1908,
nm0002077,Dexter Fletcher,168,31-01-1966,"tt2066051,tt1727824"
nm0000182,Jennifer Lopez,164,24-07-1969,
nm0002090,Zach Galligan,178,14-02-1964,tt6038042
nm0000183,Traci Lords,170,07-05-1968,
nm0002140,Agnieszka Holland,150,28-11-1948,tt5328350
nm0000185,Dolph Lundgren,196,03-11-1957,
nm0002191,Jacques Audiard,174,30-04-1952,tt4971344
nm0000186,David Lynch,178,20-01-1946,
nm0002253,John Carroll Lynch,193,01-08-1963,tt4276820
nm0000190,Matthew McConaughey,182,04-11-1969,
nm0002645,Paolo Genovese,150,20-08-1966,tt7063210
nm0000191,Ewan McGregor,177,31-03-1971,
nm0002672,Joseph Conlan,150,,tt4664244
nm0000193,Demi Moore,165,11-11-1962,
nm0002692,Joshua Tunick,150,04-04-1977,tt4723724
nm0000194,Julianne Moore,160,03-12-1960,
nm0002888,Stephen Blackehart,188,01-12-1967,tt3896198
nm0002998,Kenneth Hughes,150,,tt5634962
nm0000200,Bill Paxton,183,17-05-1955,
nm0003400,Joram Lürsen,150,11-08-1963,tt4610378
nm0000201,Michelle Pfeiffer,171,29-04-1958,
nm0003482,Nash Edgerton,183,19-01-1973,tt3721964
nm0000202,Ryan Phillippe,173,10-09-1974,
nm0003506,James Mangold,183,16-12-1963,tt3315342
nm0000204,Natalie Portman,160,09-06-1981,
nm0003761,Edward T. McDougal,150,,tt0235166
nm0000206,Keanu Reeves,186,02-09-1964,
nm0003832,Ingrid Schoelderle,172,28-05-1952,tt9097694
nm0000208,Molly Ringwald,173,18-02-1968,
nm0003836,Michael Powell,188,30-09-1905,tt0038733
nm0000210,Julia Roberts,175,28-10-1967,
nm0003922,Michael Goi,178,04-03-1959,tt5834854
nm0000211,Mimi Rogers,173,27-01-1956,
nm0004217,André Øvredal,150,,"tt3387520,tt3289956"
nm0000213,Winona Ryder,161,29-10-1971,
nm0004335,Hrithik Roshan,175,10-01-1974,tt7485048
nm0000214,Mia Sara,163,19-06-1967,
nm0004694,Christina Aguilera,157,18-12-1980,tt4877122
nm0000218,Kristin Scott Thomas,168,24-05-1960,
nm0004715,Will Arnett,189,04-05-1970,tt4116284
nm0000219,Steven Seagal,193,10-04-1952,
nm0004716,Darren Aronofsky,183,12-02-1969,tt5109784
nm0000220,Joan Severance,175,23-12-1958,
nm0004729,Michael Beach,170,30-10-1963,"tt7125860,tt1477834"
nm0000221,Charlie Sheen,178,03-09-1965,
nm0004737,Shari Belafonte,165,22-09-1954,tt2435970
nm0000222,Brooke Shields,183,31-05-1965,
nm0004886,Bill Duke,194,26-02-1943,tt6998518
nm0000223,Elisabeth Shue,157,06-10-1963,
nm0004921,Joely Fisher,170,29-10-1967,tt4494094
nm0000224,Alicia Silverstone,165,04-10-1976,
nm0004936,Ben Foster,175,29-10-1980,tt3892172
nm0000225,Christian Slater,174,18-08-1969,
nm0005020,Josh Hopkins,188,12-09-1970,tt3829920
nm0000226,Will Smith,188,25-09-1968,
nm0005102,Lindsay Hartley,160,17-04-1978,tt6932340
nm0000227,Mira Sorvino,178,28-09-1967,
nm0005299,Sarah Paulson,168,17-12-1974,tt6823368
nm0000230,Sylvester Stallone,177,06-07-1946,
nm0005351,Ryan Reynolds,188,23-10-1976,tt5463162
nm0005377,Sam Rockwell,173,05-11-1968,tt5027774
nm0000235,Uma Thurman,180,29-04-1970,
nm0005380,Ray Romano,187,21-12-1957,tt5462602
nm0000237,John Travolta,188,18-02-1954,
nm0005404,Rusty Schwimmer,165,25-08-1962,tt1082807
nm0000240,Skeet Ulrich,183,20-01-1970,
nm0005458,Jason Statham,178,26-07-1967,tt4779682
nm0000241,Jean-Claude Van Damme,177,18-10-1960,
nm0005491,Maura Tierney,160,03-02-1965,tt1226837
nm0000242,Mark Wahlberg,173,05-06-1971,
nm0005513,Alanna Ubach,160,03-10-1975,tt2380307
nm0005552,Kym Whitley,150,07-06-1961,tt3401882
nm0000246,Bruce Willis,183,19-03-1955,
nm0005616,Aaron Woodley,150,24-05-1905,"tt4426464,tt3228088,tt1650535"
nm0000250,Renée Zellweger,160,25-04-1969,
nm0005628,Oliver Schmitz,150,13-05-1905,tt4627352
nm0000254,Isabelle Adjani,163,27-06-1955,
nm0006369,Ashok Kumar,150,13-10-1911,tt0147855
nm0000255,Ben Affleck,192,15-08-1972,
nm0006560,Sarah Levy,150,,"tt1825683,tt4154756,tt4154796,tt4154664"
nm0000264,Pedro Almodóvar,177,25-09-1949,
nm0006845,Sally Potter,150,19-09-1949,tt5814592
nm0000266,Ursula Andress,168,19-03-1936,
nm0006846,Ric Roman Waugh,150,20-02-1968,"tt6189022,tt4633690"
nm0000272,Fanny Ardant,174,22-03-1949,
nm0007102,Tabu,169,04-11-1970,tt8108198
nm0000274,David Arquette,178,08-09-1971,
nm0007107,Urmila Matondkar,156,04-02-1974,tt0352314
nm0000275,Rosanna Arquette,164,10-08-1959,
nm0007154,Stephen Marcus,193,18-06-1962,tt6962204
nm0000276,Sean Astin,170,25-02-1971,
nm0007193,Richie Keen,150,,tt3401882
nm0000277,Richard Attenborough,170,29-08-1923,
nm0007622,Sou Abadi,150,18-06-1968,tt5636222
nm0000278,Pernilla August,173,13-02-1958,
nm0007814,Hiam Abbass,150,30-11-1960,tt1856101
nm0000281,Scott Baio,178,22-09-1960,
nm0008084,Carol Abboud,150,,tt7385556
nm0000285,Alec Baldwin,180,03-04-1958,
nm0008193,Nadia Abdelouafi,150,21-03-1978,tt8974368
nm0000286,Stephen Baldwin,178,12-05-1966,
nm0008243,Rustem Abdrashev,150,,tt9011132
nm0008332,Aktan Arym Kubat,150,10-05-1905,tt5612426
nm0009252,Roy Abramsohn,150,,"tt7668870,tt6215044"
nm0000293,Sean Bean,179,17-04-1959,
nm0009496,Clarisse Abujamra,150,03-04-1947,tt5631456
nm0000297,Tom Berenger,180,31-05-1949,
nm0009730,Toneey Acevedo,150,,tt1488606
nm0000299,Michael Biehn,182,31-07-1956,
nm0010207,Juana Acosta,150,28-11-1976,"tt6101820,tt3673036"
nm0000300,Juliette Binoche,168,09-03-1964,
nm0010611,Piotr Adamczyk,182,21-03-1972,tt5370828
nm0000301,Thora Birch,163,11-03-1982,
nm0010653,Kasia Adamik,150,28-12-1972,tt5328350
nm0000302,Jacqueline Bisset,169,13-09-1944,
nm0011639,Lisa Addario,150,25-07-1968,tt5779540
nm0000307,Helena Bonham Carter,157,26-05-1966,
